;Unnamed: 0;datum;url;sentiment;discussielengte;views;auteur;GPS breedtegraad;GPS lengtegraad;bericht tekst;likes count;datum utc;hashtags
1;1;2018-06-28 15:17;https://instagram.com/p/BkkdlOYnVzy/;0;1.0;20.0;vmi.somatic.practice;52.383312;4.843379;Patricia Bardi  @vmi.somatic.practice @patricia_bardi @de_bouwput                       ;20.0;2018-06-28 13:17:35;vocaldance debouwput broedplaats Bouw Amsterdam kunst design fashion politiek podium gallerie kolenkit bosenlommer werkzaamheden talks presentations gallery art music community film products dance artistsspace
3;3;2018-02-16 10:16;https://instagram.com/p/BfQJCCWlVF4/;0;2.0;30.0;deanodellmindreader;51.916698;4.5;Nearly 5 years since we went to Rotterdam beautiful city                 #           ;30.0;2018-02-16 09:16:14;Rotterdam netherlands city bridge euromast cubehouses travel instagood travel sunrise architecture photography photooftheday sun instagood instadaily sun instagood instalike instadaily follow architecturephotography tourist river water boat cruise photographyworld
4;4;2017-06-24 14:50;https://instagram.com/p/BVuRKeaAcw7/;0;0.0;4.0;schepenkringyachtbrokers;;;Bij Schepenkring Kortgene Delta Marina Even wat ruimte gemaakt voor nieuwe verkoopschepen.                            ;4.0;2017-06-24 12:50:34;pixzherfst pixzeeland pzcfoto pzcredactie nationaalparkoosterschelde natuurfotosnederland veersemeer zeelandfotografie zeeland vogelbeschermingnederland vogelbescherming birdinstagram super_holland mooistefotovannederland dutch_connexion ig_delight fotovandedag zonnestralen super_holland_waterland ikhouvandieren ikhouvanholland ikhouvanzeeland instagram meteogroupweer natuurmonumenten dutchskies2017
5;5;2018-03-26 00:21;https://instagram.com/p/Bgw0GOnDgYd/;0;0.0;30.0;weggemansweddings;52.778069;6.896139999999999;?        ;30.0;2018-03-25 22:21:49;Weddingplans trouwplannen bruidszaak Emmen bruidsjurk trouwpak weddingdress trouwenin2018 trouwenin2019
7;7;2017-06-16 00:52;https://instagram.com/p/BVYK7edHDt0/;+;1.0;17.0;degoedezaak;52.083302;4.3167;Vrijdagavond in de studio van Den Haag FM worden we hopelijk niet in de boeien geslagen  want.... Maarten van Mierlo van Politie Den Haag zal aanschuiven maar ook Else Kodde van Stichting Lotje. En samen met Chanine Jaikaran van Den Haag INTO Business sluiten we het programma af.  De Goede Zaak is elke vrijdagavond te beluisteren van 21 tot 23 uur via 92.0 of www.denhaagfm.nl                     ;17.0;2017-06-15 22:52:48;radioprogramma radio degoedezaak denhaagfm denhaag maatschappelijk maatschappelijkbetrokken ondernemen stichting stichtinglotje elsekodde politie politiedenhaag maartenvanmierlo bureauhoefkade chaninejaikaran intobusiness denhaagintobusiness magazine ondernemers
9;9;2018-03-11 15:58;https://instagram.com/p/BgL-iL9D0Nh/;0;2.0;10.0;amsterdampics020;52.287498;4.8875;Vandaag op de Amstel, de Heineken Roeivierkamp. Deze Roeivierkamp is de aftrap van het Nederlandse roeiseizoen waar (internationale) toppers zich voor het eerst met elkaar meten. Gisteren en vandaag vindt deze unieke roeiwedstrijd plaats op de Amstel. (10 en 11 mrt 2018)      ;10.0;2018-03-11 14:58:56;heinekenroeivierkamp amsterdam AMSTERDAMPICS020 amstel
10;10;2017-03-21 12:03;https://instagram.com/p/BR5dZcOlHjf/;+;5.0;110.0;debs282;51.930241;4.316168;Was weer een lekker rondje met de hardloop groep. Ook mijn oude patas weer eens uit de kast gehaald. Wat lopen die toch heeeeerlijk! Denk dat ik ze in Rotterdam ook aan ga doen. Ze brachten mij al 2x eerder naar de finish op de Coolsingel, dus ze kennen de weg.               ;110.0;2017-03-21 11:03:32;trainen hardlopen running loverunning nevernotrunning alwaysontherun instarunner runderful runforfun roadtorotterdam mr17 kwartmarathon staystrong nevergiveup fibromyalgie
12;12;2018-02-18 12:36;https://instagram.com/p/BfVith5naBa/;+;0.0;69.0;henrierusscher;52.647888;6.2126800000000015;Was een mega mooi weekend Geweld uut Salland      ;69.0;2018-02-18 11:36:50;GUS Burdy DeDissel Staphorst piratenhits genieten
13;13;2017-10-26 23:41;https://instagram.com/p/BaugfahFrh0/;0;0.0;38.0;broodjestijdbv_monique;;;Aquafaba merinque cookies VEGAN GF PALEO DAIRYFREE                        http://www.unconventionalbaker.com/recipes/aquafaba-meringue-cookies-with-coconut-sugar/;38.0;2017-10-26 21:41:28;glutenvrij glutenfree vegan veganistisch vegetarisch aquafaba vegetarian paleo lowcarb raw rawvegan dairyfree lactosevrij sugarfree suikervrij easybaking makkelijkemaaltijd noeggs Rotterdam Broodjestijd Healthylunch 010
14;14;2017-02-28 11:51;https://instagram.com/p/BRDXUxnj2H5/;0;0.0;22.0;vorstelijkbaarn;52.211864;5.292549;Een hotel op de Brink dat echt heeft bestaan, is in april de locatie voor een tijdelijke Escape Room in Baarn!         ;22.0;2017-02-28 10:51:29;hotelcentral escaperoom popup spanning goededoel als alsopdeweg teampascal baarn
